#Kernelized
#bias 1
#labels 2
#kernel 1
1
158
0.1 0.1  1:1.9915431e+00 2:3.9639649e+00
1.000000e-01 1.000000e-01  1:1.6778500e+00 2:2.9480381e+00
1.000000e-01 1.000000e-01  1:3.4220791e+00 2:1.9646339e+00
1.000000e-01 1.000000e-01  1:3.0013280e+00 2:3.6677170e+00
1.000000e-01 1.000000e-01  1:3.2686099e-01 2:3.6316669e+00
1.000000e-01 1.000000e-01  1:2.7086821e+00 2:1.3257639e+00
4.584907e-02 4.692753e-02  1:1.8470850e+00 2:2.7538431e+00
-1.000000e-01 -1.000000e-01  1:1.9915431e+00 2:-3.9639649e+00
1.000000e-01 1.000000e-01  1:6.7691702e-01 2:-3.0460399e-01
6.847079e-01 -6.162371e-01  1:2.1836970e+00 2:-1.9973960e+00
-1.000000e-01 -1.000000e-01  1:4.3441501e-01 2:-3.4389570e+00
-1.000000e-01 -1.000000e-01  1:5.7522398e-01 2:-2.1854291e+00
1.000000e-01 1.000000e-01  1:1.5783989e+00 2:-4.4305101e-01
4.128143e-01 -4.586825e-01  1:2.4234569e+00 2:-1.0034980e+00
-1.000000e+00 9.000000e-01  1:1.9304770e+00 2:-2.1939440e+00
1.000000e-01 1.000000e-01  1:3.5799251e+00 2:-9.1088498e-01
7.009755e-01 -7.010156e-01  1:4.1745968e+00 2:-2.7295570e+00
-1.000000e-01 -1.000000e-01  1:1.6005830e+00 2:-3.2537069e+00
-1.000000e-01 -1.000000e-01  1:7.2251701e-01 2:-1.2713979e+00
7.901942e-01 -7.111747e-01  1:2.7438350e+00 2:-3.9696970e+00
4.897861e-01 -5.442067e-01  1:3.4152091e+00 2:-1.3762460e+00
-6.712266e-01 5.346962e-01  1:1.9938120e+00 2:-3.3620000e+00
-1.000000e-01 -1.000000e-01  1:6.6329300e-01 2:-1.0546480e+00
-1.000000e-01 -1.000000e-01  1:1.3658860e+00 2:-1.4499930e+00
-1.000000e-01 -1.000000e-01  1:9.1462702e-01 2:-6.6445398e-01
-1.000000e-01 -1.000000e-01  1:1.4240210e+00 2:-2.6048379e+00
1.000000e+00 -9.000000e-01  1:2.0603409e+00 2:-3.0334530e+00
1.000000e+00 -9.000000e-01  1:2.1296971e+00 2:-2.0029149e+00
9.599366e-01 -8.639429e-01  1:2.3722081e+00 2:-2.8904710e+00
7.628595e-01 -7.733617e-01  1:4.1307759e+00 2:-4.0806961e+00
-1.000000e-01 -1.000000e-01  1:1.2628280e+00 2:-1.1357400e+00
-1.000000e-01 -1.000000e-01  1:1.4562581e+00 2:-1.2449220e+00
1.000000e-01 1.000000e-01  1:2.9872329e+00 2:-7.7758503e-01
-1.000000e-01 -1.000000e-01  1:5.7197100e-01 2:-2.1005509e+00
-1.000000e-01 -1.000000e-01  1:1.3191611e+00 2:-2.1349020e+00
-1.000000e-01 -1.000000e-01  1:1.1961600e+00 2:-2.9477789e+00
2.048372e-01 -2.275969e-01  1:3.6775689e+00 2:-1.7008719e+00
-1.000000e-01 -1.000000e-01  1:1.6778500e+00 2:-2.9480381e+00
-1.000000e-01 -1.000000e-01  1:3.2686099e-01 2:-3.6316669e+00
-8.812373e-01 7.680414e-01  1:1.8470850e+00 2:-2.7538431e+00
1.000000e-01 1.000000e-01  1:-1.9915431e+00 2:3.9639649e+00
-1.000000e-01 -1.000000e-01  1:-6.7691702e-01 2:3.0460399e-01
-6.851077e-01 6.165969e-01  1:-2.1836970e+00 2:1.9973960e+00
1.000000e-01 1.000000e-01  1:-4.3441501e-01 2:3.4389570e+00
1.000000e-01 1.000000e-01  1:-5.7522398e-01 2:2.1854291e+00
-1.000000e-01 -1.000000e-01  1:-1.5783989e+00 2:4.4305101e-01
-4.129285e-01 4.588094e-01  1:-2.4234569e+00 2:1.0034980e+00
1.000000e+00 -9.000000e-01  1:-1.9304770e+00 2:2.1939440e+00
-1.000000e-01 -1.000000e-01  1:-3.5799251e+00 2:9.1088498e-01
-7.009573e-01 7.012370e-01  1:-4.1745968e+00 2:2.7295570e+00
1.000000e-01 1.000000e-01  1:-1.6005830e+00 2:3.2537069e+00
1.000000e-01 1.000000e-01  1:-7.2251701e-01 2:1.2713979e+00
-7.912039e-01 7.120835e-01  1:-2.7438350e+00 2:3.9696970e+00
-4.917249e-01 5.463610e-01  1:-3.4152091e+00 2:1.3762460e+00
6.711615e-01 -5.346239e-01  1:-1.9938120e+00 2:3.3620000e+00
1.000000e-01 1.000000e-01  1:-6.6329300e-01 2:1.0546480e+00
1.000000e-01 1.000000e-01  1:-1.3658860e+00 2:1.4499930e+00
1.000000e-01 1.000000e-01  1:-9.1462702e-01 2:6.6445398e-01
1.000000e-01 1.000000e-01  1:-1.4240210e+00 2:2.6048379e+00
-1.000000e+00 9.000000e-01  1:-2.0603409e+00 2:3.0334530e+00
-1.000000e+00 9.000000e-01  1:-2.1296971e+00 2:2.0029149e+00
-9.601862e-01 8.641676e-01  1:-2.3722081e+00 2:2.8904710e+00
-7.633578e-01 7.718122e-01  1:-4.1307759e+00 2:4.0806961e+00
1.000000e-01 1.000000e-01  1:-1.2628280e+00 2:1.1357400e+00
1.000000e-01 1.000000e-01  1:-1.4562581e+00 2:1.2449220e+00
-1.000000e-01 -1.000000e-01  1:-2.9872329e+00 2:7.7758503e-01
1.000000e-01 1.000000e-01  1:-5.7197100e-01 2:2.1005509e+00
1.000000e-01 1.000000e-01  1:-1.3191611e+00 2:2.1349020e+00
1.000000e-01 1.000000e-01  1:-1.1961600e+00 2:2.9477789e+00
-2.025305e-01 2.250339e-01  1:-3.6775689e+00 2:1.7008719e+00
1.000000e-01 1.000000e-01  1:-1.6778500e+00 2:2.9480381e+00
1.000000e-01 1.000000e-01  1:-3.2686099e-01 2:3.6316669e+00
8.821095e-01 -7.690105e-01  1:-1.8470850e+00 2:2.7538431e+00
-1.000000e-01 -1.000000e-01  1:-1.9915431e+00 2:-3.9639649e+00
-1.000000e-01 -1.000000e-01  1:-6.7691702e-01 2:-3.0460399e-01
-6.603653e-02 -6.544242e-02  1:-2.1836970e+00 2:-1.9973960e+00
-1.000000e-01 -1.000000e-01  1:-3.0837970e+00 2:-2.1436651e+00
-1.000000e-01 -1.000000e-01  1:-3.0995510e+00 2:-3.3806391e+00
-1.000000e-01 -1.000000e-01  1:-2.8541231e+00 2:-1.5898870e+00
-1.000000e-01 -1.000000e-01  1:-4.3441501e-01 2:-3.4389570e+00
-1.000000e-01 -1.000000e-01  1:-5.7522398e-01 2:-2.1854291e+00
-1.000000e-01 -1.000000e-01  1:-1.5783989e+00 2:-4.4305101e-01
-1.000000e-01 -1.000000e-01  1:-2.4234569e+00 2:-1.0034980e+00
-1.000000e-01 -1.000000e-01  1:-2.9177830e+00 2:-3.1870320e+00
-9.913254e-02 -1.007808e-01  1:-1.9304770e+00 2:-2.1939440e+00
-1.000000e-01 -1.000000e-01  1:-3.5799251e+00 2:-9.1088498e-01
-1.000000e-01 -1.000000e-01  1:-3.1734359e+00 2:-1.6644980e+00
-1.000000e-01 -1.000000e-01  1:-4.1745968e+00 2:-2.7295570e+00
-1.000000e-01 -1.000000e-01  1:-2.4253359e+00 2:-1.0669810e+00
-1.000000e-01 -1.000000e-01  1:-1.6005830e+00 2:-3.2537069e+00
-1.000000e-01 -1.000000e-01  1:-7.2251701e-01 2:-1.2713979e+00
-1.000000e-01 -1.000000e-01  1:-2.7438350e+00 2:-3.9696970e+00
-1.000000e-01 -1.000000e-01  1:-3.4152091e+00 2:-1.3762460e+00
-1.000000e-01 -1.000000e-01  1:-1.9938120e+00 2:-3.3620000e+00
-1.000000e-01 -1.000000e-01  1:-6.6329300e-01 2:-1.0546480e+00
-1.000000e-01 -1.000000e-01  1:-1.3658860e+00 2:-1.4499930e+00
-1.000000e-01 -1.000000e-01  1:-9.1462702e-01 2:-6.6445398e-01
-1.000000e-01 -1.000000e-01  1:-1.4240210e+00 2:-2.6048379e+00
-1.000000e-01 -1.000000e-01  1:-2.0603409e+00 2:-3.0334530e+00
-1.000000e-01 -1.000000e-01  1:-2.1296971e+00 2:-2.0029149e+00
-1.000000e-01 -1.000000e-01  1:-3.8014860e+00 2:-2.8777709e+00
-1.000000e-01 -1.000000e-01  1:-4.0744901e+00 2:-3.0160670e+00
-1.000000e-01 -1.000000e-01  1:-4.1307759e+00 2:-4.0806961e+00
-1.000000e-01 -1.000000e-01  1:-1.2628280e+00 2:-1.1357400e+00
-1.000000e-01 -1.000000e-01  1:-3.0044889e+00 2:-3.1371269e+00
-1.000000e-01 -1.000000e-01  1:-1.4562581e+00 2:-1.2449220e+00
-1.000000e-01 -1.000000e-01  1:-2.9872329e+00 2:-7.7758503e-01
-1.000000e-01 -1.000000e-01  1:-3.0805621e+00 2:-2.7292161e+00
-1.000000e-01 -1.000000e-01  1:-5.7197100e-01 2:-2.1005509e+00
-1.000000e-01 -1.000000e-01  1:-1.3191611e+00 2:-2.1349020e+00
-1.000000e-01 -1.000000e-01  1:-1.1961600e+00 2:-2.9477789e+00
-1.000000e-01 -1.000000e-01  1:-2.9713309e+00 2:-3.3811419e+00
-1.000000e-01 -1.000000e-01  1:-3.6775689e+00 2:-1.7008719e+00
-1.000000e-01 -1.000000e-01  1:-1.6778500e+00 2:-2.9480381e+00
-1.000000e-01 -1.000000e-01  1:-3.4220791e+00 2:-1.9646339e+00
-1.000000e-01 -1.000000e-01  1:-3.0013280e+00 2:-3.6677170e+00
-1.000000e-01 -1.000000e-01  1:-3.2686099e-01 2:-3.6316669e+00
-1.000000e-01 -1.000000e-01  1:-2.7086821e+00 2:-1.3257639e+00
-4.458887e-02 -4.349987e-02  1:-1.8470850e+00 2:-2.7538431e+00
